NO, PROVINSI, KABUPATEN, TIPE RS, NAMA RS, STATUS
124, Yogyakarta, Kab. Bantul, Rumah Sakit Umum Daerah, RSUD Panembahan Senopati, Paripurna
125, Yogyakarta, Kab. Sleman, Rumah Sakit Jiwa, RS Jiwa Ghrasia, Paripurna
126, Yogyakarta, Kab. Sleman, Rumah Sakit Umum Daerah, RSUD Prambanan, Paripurna
127, Yogyakarta, Kab. Sleman, Rumah Sakit Umum, RS Dr. Sardjito, Paripurna
128, Yogyakarta, Kab. Sleman, Rumah Sakit Umum Daerah, RSUD Sleman, Paripurna
129, Yogyakarta, Kab. Kulon Progo, Rumah Sakit Umum Daerah, RSUD Wates, Paripurna
130, Yogyakarta, Kota Yogyakarta, Rumah Sakit Umum Daerah, RSUD Kota Yogyakarta, Utama
131, Yogyakarta, Kota Yogyakarta, Rumah Sakit Umum, RS Paru Respira Yogyakarta, Perdana
132, Yogyakarta, Gunung Kidul, Rumah Sakit Umum Daerah, RSUD Wonosari, Paripurna
133, Jawa Timur, Kab.Sidoarjo, Rumah Sakit Umum Daerah, RSUD Sidoarjo, Paripurna
134, Jawa Timur, Kota Malang, Rumah Sakit Umum, RSU Dr. Saiful Anwar, Paripurna
135, Jawa Timur, Kab.Tulungagung, Rumah Sakit Umum Daerah, RSUD dr. Iskak Tulungagung, Paripurna
136, Jawa Timur, Kota Madiun, Rumah Sakit Umum, RSU Dr. Soedono Madiun, Paripurna
137, Jawa Timur, Kota Madiun, Rumah Sakit Umum Daerah, RSUD Kota Madiun, Paripurna
138, Jawa Timur, Kab. Ponorogo, Rumah Sakit Umum Daerah, RSUD Dr. Harjono S Ponorogo, Paripurna
139, Jawa Timur, Kota Mojokerto, Rumah Sakit Umum, RSU Dr. Wahidin S Husodo, Paripurna
140, Jawa Timur, Kab. Pacitan, Rumah Sakit Umum Daerah, RSUD dr. Darsono, Paripurna
141, Jawa Timur, Kab. Banyuwangi, Rumah Sakit Umum Daerah, RSUD Genteng, Paripurna
142, Jawa Timur, Kota Surabaya, Rumah Sakit Umum, RSU Dr. Soetomo, Paripurna
143, Jawa Timur, Kota Surabaya, Rumah Sakit Umum, RSU Haji Surabaya, Paripurna
144, Jawa Timur, Kota Surabaya, Rumah Sakit Jiwa, RS Jiwa Menur, Paripurna
145, Jawa Timur, Kota Surabaya, Rumah Sakit Umum Daerah, RSUD Dr. Mohamad Soewandhie, Utama
146, Jawa Timur, Kota Surabaya, Rumah Sakit Umum Daerah, RSUD Bhakti Dharma Husada, Utama
147, Jawa Timur, Kota Surabaya, Rumah Sakit Umum, RS Khusus Paru Surabaya, Perdana
148, Jawa Timur, Kab. Mojokerto, Rumah Sakit Umum Daerah, RSUD Prof. Dr. Soekandar, Paripurna
149, Jawa Timur, Kab. Mojokerto, Rumah Sakit Umum Daerah, RSUD RA. Basoeni, Utama
150, Jawa Timur, Kab. Mojokerto, Rumah Sakit Umum, RS Kusta Sumberglagah, Utama
151, Jawa Timur, Kab. Jombang, Rumah Sakit Umum Daerah, RSUD Kab Jombang, Utama
152, Jawa Timur, Kab. Pamekasan, Rumah Sakit Umum Daerah, RSUD Dr. H. Slamet Martodirdjo, Utama
153, Jawa Timur, Kab. Pamekasan, Rumah Sakit Umum Daerah, RSUD Asy-Syaafi Pamekasan, Perdana
154, Jawa Timur, Kota Probolinggo, Rumah Sakit Umum, RSU Dr. Moh Saleh Probolinggo, Utama
155, Jawa Timur, Kab. Jember, Rumah Sakit Umum, RSU Dr. Soebandi, Utama
156, Jawa Timur, Kab.Gresik, Rumah Sakit Umum Daerah, RSUD Ibnu Sina Kab. Gresik, Madya
157, Jawa Timur, Kota Kediri, Rumah Sakit Umum Daerah, RSUD Gambiran, Paripurna
158, Jawa Timur, Kota Kediri, Rumah Sakit Umum, RS Kusta Kediri, Perdana
159, Jawa Timur, Kab. Bangkalan, Rumah Sakit Umum Daerah, RSUD Syarifah Ambami Rato Ebu, Utama
160, Jawa Timur, Kab. Blitar, Rumah Sakit Umum Daerah, RSUD Ngudi Waluyo Wlingi, Paripurna
161, Jawa Timur, Kab. Tuban, Rumah Sakit Umum Daerah, RSUD Dr. R Koesma Tuban, Paripurna
162, Jawa Timur, Kab. Bondowoso, Rumah Sakit Umum Daerah, RSUD Dr. H.Koesnadi, Paripurna
163, Jawa Timur, Kab. Magetan, Rumah Sakit Umum Daerah, RSUD Dr. Saydiman Magetan, Paripurna
164, Jawa Timur, Kab. Pasuruan, Rumah Sakit Umum Daerah, RSUD Bangil, Paripurna
165, Jawa Timur, Kab. Kediri, Rumah Sakit Umum Daerah, RSUD Kabupaten Kediri, Paripurna
166, Jawa Timur, Trenggalek, Rumah Sakit Umum Daerah, RSUD dr. Soedomo Trenggalek, Paripurna
167, Jawa Timur, Kab. Lamongan, Rumah Sakit Umum Daerah, RSUD Dr Soegiri Lamongan, Paripurna
168, Jawa Timur, Kab. Lamongan, Rumah Sakit Umum Daerah, RSUD Ngimbang, Perdana
169, Jawa Timur, Kab. Sampang, Rumah Sakit Umum Daerah, RSUD Kab. Sampang, Utama
170, Jawa Timur, Kab. Malang, Rumah Sakit Umum, "RSU ""Kanjuruhan"" Kepanjen", Utama
171, Jawa Timur, Kab. Malang, Rumah Sakit Umum Daerah, RSUD Lawang, Perdana
172, Kalimantan Barat, Kota Pontianak, Rumah Sakit Umum, RSU Dr Sudarso PTK, Paripurna
173, Kalimantan Barat, Kota Pontianak, Rumah Sakit Umum Daerah, RSUD Sultan Syarif Mohamad Alkadrie, Dasar
174, Kalimantan Barat, Kota Singkawang, Rumah Sakit Umum Daerah, RSUD Dr Abdul Aziz, Paripurna
175, Kalimantan Barat, Ketapang, Rumah Sakit Umum Daerah, RSUD dr. Agoesdjam Ketapang, Utama
176, Kalimantan Barat, Kab. Landak, Rumah Sakit Umum Daerah, RSUD Landak, Perdana
177, Kalimantan Barat, Kab. Sanggau, Rumah Sakit Umum, RSU Sanggau, Perdana
178, Kalimantan Tengah, Kab. Kapuas, Rumah Sakit Umum Daerah, RSUD Dr H Soemarno S, Dasar
179, Kalimantan Tengah, Kota Palangkaraya, Rumah Sakit Jiwa, RS Jiwa Kalawa Atei, Perdana
180, Kalimantan Tengah, Kab. Seruyan, Rumah Sakit Umum Daerah, RSUD Kuala Pembuang, Perdana
181, Kalimantan Tengah, Kab. Murung Raya, Rumah Sakit Umum Daerah, RSUD Puruk Cahu, Perdana
182, Kalimantan Tengah, Kab. Gunung Mas, Rumah Sakit Umum Daerah, RSUD Kuala Kurun, Perdana
183, Kalimantan Tengah, Kab. Sukamara, Rumah Sakit Umum Daerah, RSUD Sukamara, Perdana
184, Kalimantan Tengah, Kab. Katingan, Rumah Sakit Umum Daerah, RSUD MAS AMSYAR KASONGAN, Perdana
185, Kalimantan Selatan, Kota Banjarmasin, Rumah Sakit Umum Daerah, RSUD Dr.H.Moch.Ansari Saleh, Paripurna
186, Kalimantan Selatan, Kota Banjarmasin, Rumah Sakit Umum Daerah, RSUD Ulin Banjarmasin, Paripurna
187, Kalimantan Selatan, Kab. Hulu Sungai Selatan, Rumah Sakit Umum, RSU Brigjen H Hasan Basry, Paripurna
188, Kalimantan Selatan, Kab. Banjar, Rumah Sakit Umum Daerah, RSUD Ratu Zalecha, Utama
189, Kalimantan Selatan, Kab. Tanah Laut, Rumah Sakit Umum Daerah, RSUD H Boejasin Pelaihari, Madya
190, Kalimantan Selatan, Kab. Tapin, Rumah Sakit Umum, RSU Datu Sanggul Rantau, Perdana
191, Kalimantan Timur, Kota Balikpapan, Rumah Sakit Umum Daerah, RSUD Dr. Kanujoso Djatiwibowo, Paripurna
192, Kalimantan Timur, Kab. Kutai Timur, Rumah Sakit Umum Daerah, RSUD Kudungga, Utama
193, Kalimantan Timur, Kota Samarinda, Rumah Sakit Jiwa, "RS Jiwa Atmamahusada
Mahakam/Samarinda", Paripurna
194, Kalimantan Timur, Kota Samarinda, Rumah Sakit Umum Daerah, RSUD H A Wahab Sjahranie, Utama
195, Kalimantan Timur, Kota Samarinda, Rumah Sakit Umum Daerah, RSUD Inche Abdoel Moeis, Dasar
196, Kalimantan Timur, Kab. Kutai Kartanegara, Rumah Sakit Umum Daerah, RSUD AM Parikesit Tenggarong, Paripurna
197, Kalimantan Timur, Kab. Kutai Kartanegara, Rumah Sakit Umum Daerah, RSUD Dayaku Raja, Perdana
198, Sulawesi Utara, Kota Manado, Rumah Sakit Umum, RS Prof. Dr. R. D. Kandou, Paripurna
199, Sulawesi Utara, Kab. Minahasa Utara, Rumah Sakit Umum Daerah, RSUD Maria Walanda Maramis, Perdana
200, Sulawesi Utara, Kepulauan Talaud, Rumah Sakit Umum Daerah, RSUD Talaud, Perdana
201, Sulawesi Utara, Kab. Minahasa, Rumah Sakit Umum, RSU Dr.Sam Ratulangi, Perdana
202, Sulawesi Utara, Kab. Minahasa, Rumah Sakit Umum, RSU Noongan, Perdana
203, Sulawesi Utara, Kepulauan Sangihe, Rumah Sakit Umum, RSU Liun Kendage, Dasar
204, Sulawesi Utara, Kota Kotamobagu, Rumah Sakit Umum Daerah, RSUD Kota Kotamobagu, Perdana
205, Sulawesi Utara, Kepulauan Siau Tagulandang Biaro, Rumah Sakit Umum Daerah, RSUD Tagulandang, Perdana
206, Sulawesi Utara, Kab. Minahasa Tenggara, , RSUP Ratatotok - Buyat, Perdana
207, Sulawesi Tengah, Kab. Parigi Moutong, Rumah Sakit Umum, RSU Anuntaloko Parigi, Utama
208, Sulawesi Tengah, Kab. Banggai, Rumah Sakit Umum, RSU Luwuk, Madya
209, Sulawesi Tengah, Kota Palu, Rumah Sakit Umum, RSU Undata Palu, Paripurna
210, Sulawesi Tengah, Kab. Buol, Rumah Sakit Umum, RSU Buol, Perdana
211, Sulawesi Tengah, Kab. Morowali, Rumah Sakit Umum Daerah, RSUD Morowali, Perdana
212, Sulawesi Selatan, Kab. Sinjai, Rumah Sakit Umum, RSU Sinjai, Dasar
213, Sulawesi Selatan, Kab. Luwu Timur, Rumah Sakit Umum Daerah, RSUD I Lagaligo, Perdana
214, Sulawesi Selatan, Kab. Wajo, Rumah Sakit Umum Daerah, RSUD Siwa, Perdana
215, Sulawesi Selatan, Kota Makassar, Rumah Sakit Umum, RS dr. Wahidin Sudirohusodo, Paripurna
216, Sulawesi Selatan, Kota Makassar, Rumah Sakit Umum, "RS Kusta Dr. Tadjuddin Chalid,
MPH", Dasar
217, Sulawesi Selatan, Kota Makassar, Rumah Sakit Umum Daerah, RSUD KOTA MAKASSAR, Dasar
218, Sulawesi Selatan, Kab. Sidenreng Rappang, Rumah Sakit Umum, RSU Sayang Rakyat, Perdana
219, Sulawesi Selatan, , Rumah Sakit Umum Daerah, RSUD Arifin Numang, Perdana
220, Sulawesi Selatan, Kab. Sidenreng Rappang, Rumah Sakit Umum, RSU Nene Mallomo, Perdana
221, Sulawesi Selatan, Kab. Barru, Rumah Sakit Umum, RSU Barru, Perdana
222, Sulawesi Selatan, Kab. Bone, Rumah Sakit Umum, RSU Tenriawaru Bone, Utama
223, Sulawesi Selatan, Kab. Kepulauan Selayar, Rumah Sakit Umum Daerah, "RSUD KH Hayyung Kepulauan
Selayar", Perdana
224, Sulawesi Selatan, Kab. Enrekang, Rumah Sakit Umum, RSU Enrekang, Perdana
225, Sulawesi Tenggara, Kota Kendari, Rumah Sakit Umum, RSU Bahteramas Provinsi Sultra, Paripurna
226, Sulawesi Tenggara, Kab. Kolaka, Rumah Sakit Umum, RSU Benyamin Guluh Kolaka, Perdana
227, Bali, Kab. Badung, Rumah Sakit Umum Daerah, RSUD Kab. Badung Mangusada, Paripurna
228, Bali, Kab. Tabanan, Rumah Sakit Umum, RSU Tabanan, Paripurna
229, Bali, Kota Denpasar, Rumah Sakit Umum Daerah, RSUD Wangaya, Paripurna
230, Bali, Kota Denpasar, Rumah Sakit Umum, RS Sanglah Bali, Paripurna
231, Bali, Kota Denpasar, Rumah Sakit Umum, RS Khusus Mata Bali Mandara, Paripurna
232, Bali, Kab. Karangasem, Rumah Sakit Umum Daerah, RSUD Karangasem, Paripurna
233, Bali, Kab. Bangli, Rumah Sakit Jiwa, RS Jiwa Provinsi Bali, Paripurna
234, Bali, Kab. Bangli, Rumah Sakit Umum, RSU Bangli, Utama
235, Bali, Kab. Jembrana, Rumah Sakit Umum, RSU Negara, Madya
236, Bali, Kab. Gianyar, Rumah Sakit Umum Daerah, RSUD Sanjiwani Gianyar, Madya
237, Bali, Kab. Buleleng, Rumah Sakit Umum Daerah, RSUD Kab. Buleleng, Madya
238, Bali, Kab. Klungkung, Rumah Sakit Umum, RSU Klungkung, Paripurna
239, Bali, Kab. Badung, Rumah Sakit Umum Daerah, RSUD Kab. Badung Mangusada, Paripurna
240, Nusa Tenggara Barat, Kab. Lombok Barat, Rumah Sakit Umum Daerah, RSUD Patut Patuh Patju, Perdana
241, Nusa Tenggara Barat, Kota Mataram, Rumah Sakit Jiwa, RS Jiwa Propinsi NTB, Paripurna
242, Nusa Tenggara Barat, Kota Mataram, Rumah Sakit Umum Daerah, RSUD Kota Mataram, Utama
243, Nusa Tenggara Barat, Kab. Bima, Rumah Sakit Umum, RSU Bima, Perdana
244, Nusa Tenggara Barat, Kab. Sumbawa Barat, Rumah Sakit Umum Daerah, RSUD Asy-Syifa Sumbawa Barat, Perdana
245, Nusa Tenggara Timur, Kota Kupang, Rumah Sakit Umum, RSU Prof Dr WZ Johanes, Madya
246, Nusa Tenggara Timur, Kab. Sikka, Rumah Sakit Umum, RSU Dr TC Hillers Maumere, Madya
247, Nusa Tenggara Timur, Kab. Ende, Rumah Sakit Umum Daerah, RSUD Ende, Madya
248, Nusa Tenggara Timur, Kab. Ngada, Rumah Sakit Umum, RSU Bajawa, Perdana
249, Nusa Tenggara Timur, Kab. Alor, Rumah Sakit Umum Daerah, RSUD Alor, Perdana
250, Nusa Tenggara Timur, Kab. Kupang, Rumah Sakit Umum Daerah, RSUD Naibonat, Perdana
251, Nusa Tenggara Timur, Kab. Lembata, Rumah Sakit Umum Daerah, RSUD Lewoleba, Perdana
252, Nusa Tenggara Timur, Kab. Timor Tengah Selatan, Rumah Sakit Umum, RSU Soe, Perdana
253, Maluku, Kota Ambon, Rumah Sakit Umum, RSU Dr M Haulussy Ambon, Utama
